Mês,VP_HW,VP_ARIMA,VP_RN
2025-09,"3.318.633.117,30","3.328.520.331,70","3.502.238.169,05"
2025-10,"3.288.992.398,71","3.280.042.854,75","3.502.726.853,80"
2025-11,"3.626.811.210,95","3.513.915.055,05","3.522.802.419,54"
2025-12,"3.941.263.521,19","3.836.853.421,76","3.530.312.357,96"
2026-01,"3.387.418.686,13","3.383.134.914,54","3.508.347.973,58"
2026-02,"3.579.281.028,03","3.494.180.550,32","3.515.175.176,46"
2026-03,"3.343.412.177,34","3.326.845.312,00","3.508.733.381,42"
2026-04,"3.728.576.369,97","3.607.762.510,38","3.519.944.668,41"
2026-05,"3.796.347.224,47","3.637.000.303,25","3.522.965.466,94"
2026-06,"3.688.357.074,07","3.614.742.116,43","3.525.850.053,80"
2026-07,"3.581.163.395,15","3.511.088.454,43","3.519.626.095,77"
2026-08,"3.906.404.150,43","3.683.573.360,92","3.520.769.511,34"
